LEN112,Lenguaje y Comunicación I,2
ING113,Inglés I,3
INF112,Informática I,2
CAL114,Cálculo I,4
QUI113,Química I,3
BIO102,Biología,2
PDM102,Problemas del Desarrollo y medio ambiente,2
DPT102,Deportes,2
LEN222,Lenguaje y Comunicación II,2
ING223,Inglés II,3
INF222,Informática II,2
CAL224,Cálculo II,4
QUI224,Química II,4
LAQ212,Laboratorio de Química I,2
FIS214,Física I,4
IIA203,Introducción a la Ingeniería Ambiental,3
ING333,Inglés III,3
INF333,Informática III,3
CAL334,Cálculo III,4
QUI334,Química III,4
LAQ322,Laboratorio de Química II,2
FIS324,Física II,4
LAF312,Laboratorio de Física I,2
HYM302,El Hombre y el Mar,2
ING443,Inglés IV,3
INF443,Informática IV,3
CAL444,Cálculo IV,4
EST412,Estadística I,2
QUA403,Química Ambiental,3
LAQ432,Laboratorio de Química III,2
LAF422,Laboratorio de Física II,2
SMC403,Sistemas Ambientales Marino Costeros,3
ING553,Inglés V,3
ECO502,Ecología,2
CAL554,Cálculo V,4
EST522,Estadística II,2
LAQ502,Laboratorio de Química Ambiental,2
HID503,Hidrología,3
MEI512,Metodología de la Investigación I,2
SSC504,Servicio Social Comunitario Obligatorio,4
ING663,Inglés VI,3
COH603,Contaminación Hídrica,3
RSP603,Residuos Sólidos y Peligrosos,3
MEI622,Metodología de la Investigación II,2
PAMC603,Problemática Ambiental Marino Costera,3
MIA603,Microbiología Ambiental,3
CSA603,Ciencias de la Atmósfera,3
FCS603,Fundamentos de la Ciencia del Suelo,3
ING773,Inglés VII,3
COA703,Contaminación Atmosférica,3
GEA713,Gestión Ambiental I,3
FEP713,Formulación y Evaluación de Proyectos I,3
IEP702,Iniciación al Ejercicio Profesional,2
EPI703,Epidemiología,3
PRI703,Procesos Industriales,3
LIA812,Laboratorio de Ingeniería Ambiental I,2
CCM803,Control de la Contaminación Marino Costera,3
GEA823,Gestión Ambiental II,3
FEP823,Formulación y Evaluación de Proyectos II,3
ACR804,Aprovechamiento y Conservación de Recursos Marinos,4
LIA922,Laboratorio de Ingeniería Ambiental II,2
DIA903,Diseño Ambiental.,3
STA902,Seminario de tópicos Ambientales,2
ETP902,Ética Profesional,2
PAP19,Pasantía Profesional,19
ECH001,Organización de programación del Trabajo,1
ECH002,Relaciones Humanas,1
ECH003,Trabajo en Equipo y liderazgo,1
ECA011,Energías Renovables y Limpias,3
ECA012,Evaluación de Riesgos Ambientales de origen Antrópico y Naturales,3
ECA013,Radiactividad y Mineralogía ambiental,3
ECA014,Genética Ambiental,3
ECA015,Medio Ambiente del Interior,3
ECA016,Tecnologías Verdes,3
ECA017,Biotecnología Ambiental,3
ECA018,Geotécnica Ambiental y Estructura Hidráulicas,3
ECA019,Diseños de Plantas de Tratamientos de Aguas,3
ECA020,"Medidas de Control, Mitigación y restauración de Sistemas Ambientales sometidos o propensos a Desastres",3
ECA021,Urbanismo Ecológico y Paisaje,3
ECA022,Recursos Botánicos y restauración de la cubierta Vegetal,3
ECA023,Sociología Ambiental Aplicada,3
ECA024,Economía Ambiental,3
ECA025,Medio Ambiente Virtual,3
ECA026,Protección ambiental y Control de Residuos Industriales,3
ECA027,Contaminación Marina Avanzada,3
