PEN102,Desarrollo de Habilidades de Pensamiento,2
GEO104,Geometría,4
CAL114,Cálculo I,4
QUI113,Química I,3
ING113,Inglés I,3
LEN113,Lenguaje y Comunicación I,3
FTB102,Fundamentos Teóricos del Buque,2
DPT102,Deportes,2
CAL224,Cálculo II,4
QUI223,Química II,3
ING223,Inglés II,3
LEN223,Lenguaje y Comunicación II,3
MEI212,Metodología de la Investigación I,2
FIS214,Física I,4
GED203,Geometría descriptiva,3
A01,Gestión Ambiental,2
A02,Contaminación Ambiental Acuática,2
A03,Seminario: El Ser Humano y El Mar,2
CAL334,Cálculo III,4
LAQ302,Laboratorio de Química,2
ING333,Inglés III,3
MEI322,Metodología de la Investigación II,2
FIS324,Física II,4
LAF312,Laboratorio de Física I,2
DMA302,Dibujo Marítimo Aplicado,2
S01,Desarrollo Social,2
S02,Problemática Social Contemporánea,2
CAL444,Cálculo IV,4
MSO403,Mecánica de los Sólidos,3
ING443,Inglés IV,3
LAF422,Laboratorio de Física II,2
LIM412,Laboratorio de Ingeniería Marítima I,2
INF412,Informática I,2
CMA403,Ciencias de los Materiales,3
TER403,Termodinámica,3
CAL554,Cálculo V,4
ING553,Inglés V,3
INF522,Informática II,2
ACB503,Arquitectura y Construcción de Buques,3
EYP503,Estadística y Probabilidad,3
FLU513,Mecánica de los Fluidos I,3
LIM522,Laboratorio de Ingeniería Marítima II,2
SSC503,Servicio Social Comunitario,3
LEG612,Legislación Marítima I,2
EST602,Estabilidad del Buque,2
ELE613,Electrotecnia Marina I,3
FLU623,Mecánica de los Fluidos II,3
LIM633,Laboratorio de Ingeniería Marítima III,3
AUX613,Sistema de Máquinas Auxiliares I,3
ING663,Inglés VI,3
G01,Técnicas Gerenciales,2
G02,Gerencia Logística,2
G03,Organización y Administración de Empresas,2
G04,Métodos Numéricos,2
AEI712,Automatismo e Instrumentación I,2
LEG723,Legislación Marítima II,3
AUX724,Sistemas de Máquinas Auxiliares II,4
ELE723,Electrotecnia Marina II,3
LIM743,Laboratorio de Ingeniería Marítima IV,3
NAV702,Navegación,2
ING773,Inglés VII,3
FEP803,Formulación y Evaluación de Proyectos de Ingeniería,3
AEI823,Automatismo e Instrumentación II,3
REF802,Refrigeración,2
CAL803,Calderas,3
SMA803,Seguridad Marítima,3
PRO805,Sistemas de Máquinas Propulsoras,5
STG802,Seminario de Trabajo de Grado,2
MIM803,Mantenimiento de Instalaciones Marinas,3
PPAB12,Pasantía Profesional A Bordo (12 meses),12
