A01,Gestión Ambiental,2
A02,Contaminación Ambiental Acuática,2
A03,Seminario: El Ser Humano y El Mar,2
AAI802,Administración de Almacenes e Inventar.,2
ABD813,Administración de Base de Datos I,3
ABD923,Administración de Base de Datos II,3
ACB503,Arquitectura y Construcción de Buques,3
ACR804,Aprovechamiento y Conservación de Recursos Marinos,4
ADA702,Aranceles de Aduana,2
ADC403,Arquitectura del Computador,3
ADM350,Administración I,4
ADM650,Administración II,2
AEA802,Administración de Empresas Aduanales,2
AEI702,Automatismo e Instrumentación,2
AEI712,Automatismo e Instrumentación I,2
AEI823,Automatismo e Instrumentación II,3
AEN902,Administración de Empresas Navieras,2
AFI503,Administración Financiera,3
AFO903,Análisis Forense,3
AIN112,Aplicaciones Informáticas I,2
AIN222,Aplicaciones Informáticas II,2
AIN332,Aplicaciones Informáticas III,2
ALG203,Algebra Lineal,3
ANC460,Antropologia Cultural I,4
ANC560,Antropologia Cultural II,4
ANC760,Antropología Cultural III,4
ANC840,Antropología Cultural IV,4
ANC850,Antropología Cultural V,4
APO702,Administración de Puertos,2
APU702,Administración de Puertos,2
ARD603,Análisis y Reconocimiento de Delitos Informáticos,3
ARH702,Administración de Recursos Humanos,2
AST704,Navegación Astronómica,4
AUS904,Auditoria de Sistemas,4
AUX613,Sistema de Máquinas Auxiliares I,3
AUX724,Sistemas de Máquinas Auxiliares II,4
BDD304,Base de Datos,4
BIO102,Biología,2
BTC703,Barreras Técnicas Comerciales,3
CAA602,Contaminación Ambiental Acuática,2
CAL114,Cálculo I,4
CAL224,Cálculo II,4
CAL334,Cálculo III,4
CAL444,Cálculo IV,4
CAL554,Cálculo V,4
CAL604,Cálculo Numérico,4
CAL803,Calderas,3
CCM803,Control de la Contaminación Marino Costera,3
CCV603,Contratos Compra – Venta,3
CDC403,Contabilidad de Costos,3
CDD603,Canales de Distribución,3
CDS802,Calidad de Servicio,2
CDT603,Contratos de Transporte,3
CEP902,Control Estadístico de Procesos,2
CIE102,Ciencia e Ingeniería,2
CIM703,Convenios Internacionales,3
CIN413,Comercio Internacional I,3
CMA403,Ciencias de los Materiales,3
COA703,Contaminación Atmosférica,3
COE690,Comunicación Oral y Escrita,1
COH603,Contaminación Hídrica,3
COM170,Comercialización I,4
COM414,Comercialización II,4
COM803,Comunicaciones Marítimas,3
CON113,Contabilidad I,3
CON223,Contabilidad II,3
CON333,Contabilidad III,3
CON460,Contabilidad I,4
CON560,Contabilidad II,4
CPI903,Control de Procesos Industriales,3
CPM602,Comercialización Pol. Petrolera y Minera,2
CRP803,Criptografía,3
CSA603,Ciencias de la Atmósfera,3
CTB803,Contabilidad General,3
CTU160,Circuitos Turísticos I,5
CTU260,Circuitos Turísticos II,5
CTU340,Circuitos Turísticos III,5
CTU435,Circuitos Turísticos IV,5
CTU530,Circuitos Turísticos V,5
CTU640,Circuitos Turísticos VI,5
CTU740,Circuitos Turísticos VII,5
CYP690,Ceremonial y Protocolo,1
DAC602,Diseño Asistido por el Computador,2
DCM902,Diseño y Control de Modelos,2
DIA903,Diseño Ambiental.,3
DMA302,Dibujo Marítimo Aplicado,2
DMA702,Derecho Marítimo,2
DPT102,Deportes,2
DPT180,Deportes,2
DSO202,Desarrollo Social,2
ECA011,Energías Renovables y Limpias,3
ECA012,Evaluación de Riesgos Ambientales de origen Antrópico y Naturales,3
ECA013,Radiactividad y Mineralogía ambiental,3
ECA014,Genética Ambiental,3
ECA015,Medio Ambiente del Interior,3
ECA016,Tecnologías Verdes,3
ECA017,Biotecnología Ambiental,3
ECA018,Geotécnica Ambiental y Estructura Hidráulicas,3
ECA019,Diseños de Plantas de Tratamientos de Aguas,3
ECA020,"Medidas de Control, Mitigación y restauración de Sistemas Ambientales sometidos o propensos a Desastres",3
ECA021,Urbanismo Ecológico y Paisaje,3
ECA022,Recursos Botánicos y restauración de la cubierta Vegetal,3
ECA023,Sociología Ambiental Aplicada,3
ECA024,Economía Ambiental,3
